Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Abans Holdings Ltd,23-Dec-22,270,270,200.24,-25.84
Landmark Cars Ltd,23-Dec-22,506,471.3,461.15,-8.86
Droneacharya Aerial Innovations Ltd,23-Dec-22,54,102,75.3,39.44
Sula Vineyards Ltd,22-Dec-22,357,358,269.55,-24.5
All E Technologies Ltd,21-Dec-22,90,125,401.75,346.39
PNGS Gargi Fashion Jewellery Ltd,20-Dec-22,30,57,1049.45,3398.17
Arham Technologies Ltd,15-Dec-22,42,60,93.95,123.69
Uniparts India Ltd,12-Dec-22,577,575,335.45,-41.86
Dharmaj Crop Guard Ltd,08-Dec-22,237,266,197.16,-16.81
Pritika Engineering Components Ltd,08-Dec-22,29,42.2,86.7,198.97
Baheti Recycling Industries Ltd,08-Dec-22,45,120,425.2,844.89
Ambo Agritec Ltd,02-Dec-22,30,40.1,74.55,148.5
Keystone Realtors Ltd,24-Nov-22,541,555,539.95,-0.19
Inox Green Energy Services Ltd,23-Nov-22,65,60.5,129.25,98.85
Kaynes Technology India Ltd,22-Nov-22,587,775,4457.05,659.29
Archean Chemical Industries Ltd,21-Nov-22,407,449,531.7,30.64
Five-Star Business Finance Ltd,21-Nov-22,474,449.95,688.45,45.24
Technopack Polymers Ltd,16-Nov-22,55,74,26.49,-51.84
Amiable Logistics India Ltd,16-Nov-22,81,129.95,80.1,-1.11
Global Health Ltd,16-Nov-22,336,398.15,1226.2,264.94
Bikaji Foods International Ltd,16-Nov-22,300,321.15,670.15,123.38
Fusion Finance Ltd,15-Nov-22,368,360.5,162.43,-55.86
DAPS Advertising Ltd,14-Nov-22,30,57,18,-40
Vital Chemtech Ltd,14-Nov-22,101,164,70.05,-30.64
DCX Systems Ltd,11-Nov-22,207,286.25,246.83,19.24
Rite Zone Chemcon India Ltd,11-Nov-22,75,82.85,28.95,-61.4
Integrated Personnel Services Ltd,11-Nov-22,59,66.5,270,357.63
Phantom Digital Effects Ltd,21-Oct-22,95,300,237.15,149.63
Pace E-Commerce Ventures Ltd,20-Oct-22,103,104.5,26.5,-74.27
Tracxn Technologies Ltd,20-Oct-22,80,83,54.37,-32.04
Electronics Mart India Ltd,17-Oct-22,59,89.4,132.03,123.78
Maagh Advertising & Marketing Services Ltd,13-Oct-22,60,62.3,27.2,-54.67
Frog Cellsat Ltd,13-Oct-22,102,177,317.6,211.37
Vedant Asset Ltd,12-Oct-22,40,65,59.85,49.63
Swastik Pipe Ltd,12-Oct-22,100,66,46.95,-53.05
QMS Medical Allied Services Ltd,11-Oct-22,121,128,103,-14.88
Lloyds Luxuries Ltd,11-Oct-22,40,45.15,84.5,111.25
Concord Control Systems Ltd,10-Oct-22,55,109.95,1110.05,1918.27
Cyber Media Research & Services Ltd,10-Oct-22,180,245.25,75.6,-58
